,address,price,url,lat,lng,beds
10,880 Glendale Ter NE #4,"193,499",30308,33.778625,-84.37676,1
11,425 Chapel St SW #2304,"195,900",30313,33.752087,-84.400215,1
12,5475 Keyhaven Pl,"198,279",30349,33.605938,-84.52442,4
13,1850 Cotillion Dr #2419,"199,900",30338,33.92151,-84.311714,1
14,1810 Giben Rd SW,"190,000",30315,33.706608,-84.3999,3
15,263 Barfield Ave SW,"199,900",30310,33.74863,-84.4621,4
16,5489 Cascade Run SW,"199,400",30336,33.7267,-84.5667,3
17,887 Oak St NW,"199,998",30318,33.779385,-84.46293,3
18,1122 Westchester Rdg NE #1122,"192,500",30329,33.833904,-84.3247,1
19,1628 Orlando St SW,"199,900",30311,33.72605,-84.441505,3
20,620 Peachtree St NE #1614,"193,500",30308,33.77206,-84.38602,1
21,20 Marietta St NW,"199,000",30303,33.753185,-84.39149,2
22,1122 Westchester Rdg NE,"192,500",30329,33.833904,-84.3247,1
23,115 W Peachtree Pl NW #411,"192,500",30313,33.76431,-84.39088,1
24,5469 Waverly Park,"193,990",30349,33.60635,-84.51859,4
25,2163 Ben Hill Rd,"199,900",30344,33.6742,-84.4599,4
26,300 Peachtree St NE,"199,999",30308,33.762558,-84.38788,1
27,1376 Allegheny St SW,"199,900",30310,33.734768,-84.43267,4
28,3045 Pebble Creek Ln,"199,900",30349,33.67226,-84.62978,4
29,5144 Rapahoe Trl,"198,000",30349,33.621086,-84.552505,3
30,2657 Lenox Rd NE #99,"199,900",30324,33.827312,-84.35338,2
31,2657 Lenox Rd NE #H-99,"199,900",30324,33.85247,-84.3682,2
32,168 Adeline Ave NW,"195,000",30314,33.75895,-84.449486,3
33,2163 Macon Dr SW,"199,000",30315,33.695232,-84.39033,4
34,3409 Ashwood Ln,"199,500",30341,33.87854,-84.24809,3
35,3318 Northcrest Rd #B,"199,900",30340,33.88652,-84.24949,4
36,4095 Ashford Dunwoody Rd NE,"195,000",30319,33.913494,-84.33351,0
37,3426 Harding Ave,"190,000",30354,33.660774,-84.41753,4
38,4040 Alveston Dr,"196,490",30349,33.6074,-84.5212,4
39,2673 Dodson Ter SW,"198,900",30311,33.69886,-84.47613,4
40,59 Adrian Pl NW,"194,900",30327,33.819084,-84.42514,2
41,800 Peachtree St NE #1222,"199,000",30308,33.77682,-84.38522,1
42,432 Hammock Loop,"195,000",30349,33.643745,-84.59965,4
43,2039 Hilburn Dr SE,"197,000",30316,33.73177,-84.32697,3
44,1914 Stanton Rd,"194,554",30344,33.7028,-84.4459,3
45,390 17th St NW #6032,"199,900",30363,33.790318,-84.3995,1
46,115 W Peachtree Pl NW #706,"191,000",30313,33.76431,-84.39088,1
47,6207 Park Ave,"199,900",30342,33.892212,-84.379005,2
48,3251 Welmingham Dr SW,"193,000",30331,33.66307,-84.51906,3
49,1801 Brighton Pt,"190,000",30328,33.956387,-84.36669,3
50,390 17th St NW #3016,"195,000",30363,33.790314,-84.39955,1
51, Claire Dr,"198,000",30315,33.7066,-84.3851,0
52,3378 Lavista Dr,"195,000",30354,33.65676,-84.399864,3
53,2409 River Green Dr NW,"190,000",30327,33.863186,-84.44804,1
54, Claire Dr,"198,000",30315,33.7066,-84.3851,0
55,1280 Elizabeth Ave SW,"199,900",30310,33.71999,-84.435165,3
56,4535 Derrick Rd,"199,000",30349,33.631004,-84.58942,0
57,384 Ralph McGill Blvd NE #112,"199,900",30312,33.764515,-84.37505,1
58,3130 Old Jonesboro Rd,"195,000",30354,33.67069,-84.40535,2
59,8 Collier Rd NW #C-4,"199,900",30309,33.806984,-84.395164,1
60,5027 Upper Elm St,"194,900",30349,33.618633,-84.58712,4
61,1280 W Peachtree St NW #2412,"199,900",30309,33.789707,-84.388115,1
62,620 Peachtree St NE #1614,"193,500",30308,33.77206,-84.38602,1
63,893 Beecher St SW,"195,000",30310,33.73371,-84.41705,3
64,700 N Ave NW,"199,996",30318,33.76981,-84.410355,3
65,384 Ralph McGill Blvd NE #316,"190,000",30312,33.764515,-84.37505,1
66,4095 Kenora Dr SW,"199,900",30331,33.757477,-84.52177,4
67,3333 Renault Rd SE,"194,000",30354,33.66411,-84.379105,3
68,2567 Abner Pl NW,"199,900",30318,33.79716,-84.4662,4
69,240 Renaissance Pkwy NE,"195,000",30308,33.76966,-84.379616,1
70,240 Renaissance Pkwy NE #102,"195,000",30308,33.76966,-84.379616,1
71,295 Thornton St SW,"199,900",30315,33.711945,-84.39857,3
72,2855 Peachtree Rd NE #302,"198,700",30305,33.832478,-84.383705,2
73,395 Joseph E Lowery Blvd NW,"195,000",30314,33.76552,-84.41715,5
74,1203 Hawthorne Trl,"196,429",30344,33.7032,-84.4441,3
75,360 Brooks Ave SW,"194,999",30310,33.7459,-84.4586,3
76,1201 Hawthorne Trl,"197,553",30344,33.7032,-84.4441,3
77,3258 Cascade Parc Blvd SW,"194,309",30311,33.699505,-84.49629,2
78,2026 Arlington Cir NW,"190,000",30318,33.770634,-84.45327,2
79,6700 Roswell Rd,"199,000",30328,33.93951,-84.37703,3
80,2942 Edgewater St SW #2-A,"199,000",30331,33.678158,-84.60152,3
81,2942 Edgewater St SW,"199,000",30331,33.678158,-84.60152,3
82,3636 Habersham Rd NW #1305,"199,000",30305,33.853313,-84.384254,1
83,20 Marietta St NW #3B,"199,000",30303,33.753185,-84.39149,2
84,4469 Bruce St,"199,000",30340,33.92643,-84.24067,3
85,4469 Bruce St,"199,000",30340,33.92643,-84.24067,0
86,1721 Rondon Ct SE,"198,900",30316,33.69945,-84.31989,3
87,96 Cleveland Ave SW,"195,900",30315,33.680965,-84.39191,5
88,1387 Lyle Ave,"199,900",30344,33.67699,-84.4343,3
89,3726 Liverpool Way,"198,200",30331,33.682003,-84.50893,4
90,970 Joseph E Boone Blvd NW,"199,900",30314,33.763172,-84.41933,3
91,3048 Briarcliff Rd NE #1,"199,500",30329,33.838905,-84.31412,2
92,2133 Dorsey Ave,"199,900",30344,33.677982,-84.45879,4
93,795 Hammond Dr #1001,"190,000",30328,33.91749,-84.3594,2
